idx_a,idx_b,similarity,text_a_model,text_b_model,text_a_orig,text_b_orig,clip_a,clip_b,context_a,context_b,same_clip,same_context,genre_a,genre_b,rank_type
654,1775,-0.12648396313659468,gta minecraft,put mind school,playing a gta and minecraft game,the music put me in mind of an before school ,Ele_LOW_14,Ele_LOW_14,videogame,concert,True,False,Electronic,Electronic,bottom
445,654,-0.12150041907866618,curtain raise track,gta minecraft,sounds like a curtain raising track at a concert,playing a gta and minecraft game,Ele_MED_20,Ele_LOW_14,concert,videogame,False,False,Electronic,Electronic,bottom
654,1307,-0.12054431883923836,gta minecraft,graduation day,playing a gta and minecraft game,reminds me of my graduation day,Ele_LOW_14,80s_MED_08,videogame,concert,False,False,Electronic,80s,bottom
375,654,-0.12038081343104898,farm,gta minecraft,i imagined like i was in a farm,playing a gta and minecraft game,Jaz_LOW_21,Ele_LOW_14,movie,videogame,False,False,Jazz,Electronic,bottom
654,1319,-0.11679803561639669,gta minecraft,yungblud uplifting energetic,playing a gta and minecraft game,rock music at a concert like yungblud uplifting and energetic music at a rock concert,Ele_LOW_14,Met_MED_19,videogame,concert,False,False,Electronic,Metal,bottom
1374,1429,-0.1150434400413178,raf dreamland boomtown,also,it made me think remember a few raves i have been to such as dreamland and boomtown,sounded like video game music but could also be concert music,Ele_LOW_09,Met_LOW_14,concert,videogame,False,False,Electronic,Metal,bottom
301,654,-0.11446823719402287,large gathering crowd,gta minecraft,reminds me of large gatherings and crowd,playing a gta and minecraft game,Met_LOW_09,Ele_LOW_14,concert,videogame,False,False,Metal,Electronic,bottom
204,654,-0.11375224599464687,end old school,gta minecraft,sounds more like the music played at the end of old school movies,playing a gta and minecraft game,Met_LOW_09,Ele_LOW_14,concert,videogame,False,False,Metal,Electronic,bottom
310,654,-0.11358163397551163,walk slowly peaceful garden listen,gta minecraft,i imagined walking slowly through a peaceful garden while listening to the sounds,playing a gta and minecraft game,80s_LOW_02,Ele_LOW_14,bar,videogame,False,False,80s,Electronic,bottom
654,1202,-0.11272903350474399,gta minecraft,transition,playing a gta and minecraft game,transition music at a concert,Ele_LOW_14,Ele_MED_20,videogame,videogame,False,True,Electronic,Electronic,bottom
