idx_a,idx_b,similarity,text_a_model,text_b_model,text_a_orig,text_b_orig,clip_a,clip_b,context_a,context_b,same_clip,same_context,genre_a,genre_b,rank_type
10,59,0.9782194495201111,dynamic sway someone care sit drink alone life something important endofinput new york city cocktail flow old clientele everyone nicely dress atmospheric lighting endofinput self watch live feel nostalgic nod head rhythm endofinput felt old tv show someone sit alone wait someone never show endofinpu…,anything maybe end credit something something sad emotional youd hear reflect life drink alone endofinput fit character walk high end club specifically new york city fit slow move endofinput self old school slow dance friend sip glass wine endofinput classic lounge prohibition era speakeasy somethin…,very dynamic could be swaying to the music with someone you care about could be sat with a drink alone thinking about your life something important | again jazz bar in new york city cocktails flowing older clientele everyone nicely dressed atmospheric lighting | i imagined my self watching a live ba…,it did not sound like a video game if anything maybe the end credits or something again sounded like something sad or emotional youd hear being played in a bar makes you reflect on your life while having a drink alone | does not fit with what i would imagine for a video game but does make me imagine…,Jaz_MED_02,Jaz_MED_07,bar,videogame,False,False,Jaz,Jaz,top
10,27,0.974918007850647,dynamic sway someone care sit drink alone life something important endofinput new york city cocktail flow old clientele everyone nicely dress atmospheric lighting endofinput self watch live feel nostalgic nod head rhythm endofinput felt old tv show someone sit alone wait someone never show endofinpu…,restaurant maybe usa rather uk calm evening meal probably somewhere quite posh endofinput mind see similar one might see couple dancing nearby color woman stage take break air fill smell cigarette smoke body odour endofinput feel nice cozy nook endofinput give dim lit nightclub performer people side…,very dynamic could be swaying to the music with someone you care about could be sat with a drink alone thinking about your life something important | again jazz bar in new york city cocktails flowing older clientele everyone nicely dressed atmospheric lighting | i imagined my self watching a live ba…,i imagined myself in a restaurant maybe in the usa rather than the uk a calm evening meal probably at somewhere quite posh | in my mind i could see a jazz bar similar to one you might see in the 1920s there is a couple dancing nearby there is colored woman on stage taking a break from singing the ai…,Jaz_MED_02,Jaz_MED_07,bar,concert,False,False,Jaz,Jaz,top
27,59,0.9737881422042847,restaurant maybe usa rather uk calm evening meal probably somewhere quite posh endofinput mind see similar one might see couple dancing nearby color woman stage take break air fill smell cigarette smoke body odour endofinput feel nice cozy nook endofinput give dim lit nightclub performer people side…,anything maybe end credit something something sad emotional youd hear reflect life drink alone endofinput fit character walk high end club specifically new york city fit slow move endofinput self old school slow dance friend sip glass wine endofinput classic lounge prohibition era speakeasy somethin…,i imagined myself in a restaurant maybe in the usa rather than the uk a calm evening meal probably at somewhere quite posh | in my mind i could see a jazz bar similar to one you might see in the 1920s there is a couple dancing nearby there is colored woman on stage taking a break from singing the ai…,it did not sound like a video game if anything maybe the end credits or something again sounded like something sad or emotional youd hear being played in a bar makes you reflect on your life while having a drink alone | does not fit with what i would imagine for a video game but does make me imagine…,Jaz_MED_07,Jaz_MED_07,concert,videogame,True,False,Jaz,Jaz,top
10,11,0.973171591758728,dynamic sway someone care sit drink alone life something important endofinput new york city cocktail flow old clientele everyone nicely dress atmospheric lighting endofinput self watch live feel nostalgic nod head rhythm endofinput felt old tv show someone sit alone wait someone never show endofinpu…,mystery crime black white main character detective woman red dress seem old school endofinput character sit drink alone bad news receive endofinput lowkey speakeasy popular place quiet one hidden gem place antique furniture low light endofinput nothing specific come late night old character walk alo…,very dynamic could be swaying to the music with someone you care about could be sat with a drink alone thinking about your life something important | again jazz bar in new york city cocktails flowing older clientele everyone nicely dressed atmospheric lighting | i imagined my self watching a live ba…,i thought about a mystery or crime film i thought about a black and white film where the main character is a detective from the 50s and the woman playing the piano is in a red dress at a bar it seemed very old school to me | a movie character sitting in a bar drinking all alone after a bad news he r…,Jaz_MED_02,Jaz_MED_07,bar,bar,False,True,Jaz,Jaz,top
29,31,0.9730659127235413,dramatic endofinput chase someone twist small alleyway endofinput another bos jrpg arcade time trial light gun endofinput long haired fan listen sort felt similar fire flame endofinput thing browser window youtube spotify recommended track part mix endofinput relate moment joy dancing celebrate frie…,friend see look right leave middle huge body people see friend jump enjoy solo endofinput one white people artist go wild niche thing know fan endofinput crowd one big mass everyone surge forward lot light fire around stage dance endofinput kind last one thing someone use know love kiss part good sa…,sounds very dramatic very video game music | i imagined chasing someone down some twisting small alleyways | another piece that sounds like boss music in a jrpg or an arcade game that has a time trial on it like a light gun game | long haired metal fans listening to some sort metal music it felt sim…,i thought about being in a rock concert with friends i can see myself looking to my right and left and being in the middle of a huge body of people i can see me and my friends jumping up and down and enjoying the guitar solo | one of those white people music concerts where the artist plays a guitar …,Met_LOW_14,Met_MED_20,concert,concert,False,True,Met,Met,top
11,59,0.9730416536331177,mystery crime black white main character detective woman red dress seem old school endofinput character sit drink alone bad news receive endofinput lowkey speakeasy popular place quiet one hidden gem place antique furniture low light endofinput nothing specific come late night old character walk alo…,anything maybe end credit something something sad emotional youd hear reflect life drink alone endofinput fit character walk high end club specifically new york city fit slow move endofinput self old school slow dance friend sip glass wine endofinput classic lounge prohibition era speakeasy somethin…,i thought about a mystery or crime film i thought about a black and white film where the main character is a detective from the 50s and the woman playing the piano is in a red dress at a bar it seemed very old school to me | a movie character sitting in a bar drinking all alone after a bad news he r…,it did not sound like a video game if anything maybe the end credits or something again sounded like something sad or emotional youd hear being played in a bar makes you reflect on your life while having a drink alone | does not fit with what i would imagine for a video game but does make me imagine…,Jaz_MED_07,Jaz_MED_07,bar,videogame,True,False,Jaz,Jaz,top
11,27,0.9713394045829773,mystery crime black white main character detective woman red dress seem old school endofinput character sit drink alone bad news receive endofinput lowkey speakeasy popular place quiet one hidden gem place antique furniture low light endofinput nothing specific come late night old character walk alo…,restaurant maybe usa rather uk calm evening meal probably somewhere quite posh endofinput mind see similar one might see couple dancing nearby color woman stage take break air fill smell cigarette smoke body odour endofinput feel nice cozy nook endofinput give dim lit nightclub performer people side…,i thought about a mystery or crime film i thought about a black and white film where the main character is a detective from the 50s and the woman playing the piano is in a red dress at a bar it seemed very old school to me | a movie character sitting in a bar drinking all alone after a bad news he r…,i imagined myself in a restaurant maybe in the usa rather than the uk a calm evening meal probably at somewhere quite posh | in my mind i could see a jazz bar similar to one you might see in the 1920s there is a couple dancing nearby there is colored woman on stage taking a break from singing the ai…,Jaz_MED_07,Jaz_MED_07,bar,concert,True,False,Jaz,Jaz,top
8,40,0.9708289504051208,felt american american havent british one see plenty american one tv maybe drink cocktail endofinput first something mario bros main section come sit endofinput see see people dance string flapper dress fly men slide lady around leg shoulder everyone smile fun endofinput slow first really start groo…,super mario tune similar background mario super mario odyssey last mario endofinput soccer pick team set formation start endofinput old set people dance couple throughout room quite lively fun endofinput well something first part low half ruin first part go pipe super mario collect coin level really…,this felt like i was in an american jazz bar i think american because i havent been to a british one and i have seen plenty of american ones in tv and film maybe i would be drinking a cocktail | at first it sounded like something out of a mario bros game and then when the main section came in it was…,i thought about a super mario video game the tune was very similar to the background music in most mario games it made me think about super mario odyssey which was the last mario game that i played | those soccer games where you are picking your teams and setting up formation before the game itself …,Jaz_LOW_19,Jaz_LOW_19,bar,movie,True,False,Jaz,Jaz,top
15,30,0.9698905944824219,school something similar mosh pit endofinput see computer desk kid open spotify see avenge sevenfold whilst homework computer talk friend facebook time loud hear mother say walk lean take wired headphone plug computer tower listen endofinput early hard speed endofinput high school finally get perfor…,watch montage action comedy one actively endofinput heavy gig festival endofinput hear sister kid listen bang head pretend air hair get crazy always much fun battle endofinput dethklok thunderhorse great endofinput kid get bull finally get revenge guy mess endofinput discomfort really iron maiden ac…,i thought of movies where they are at a concert like school of rock or something similar and they are in a mosh pit | i can see myself at the computer desk as a kid opening up spotify to see what avenged sevenfold song was playing whilst doing homework on the computer and talking to some friends on …,i imagined that i was watching a film that has a montage scene like an action comedy one i could not actively imagine being at a concert like this | a heavy metal gig or festival | when i hear this i think of my sister and i as kids listening to music like this banging our heads pretending to play a…,Met_MED_20,Met_MED_19,bar,concert,False,False,Met,Met,top
42,59,0.9696839451789856,christmas two people posh restaurant endofinput slow dance endofinput see stage side curtain slow raise show beautifully dress woman endofinput smokey club enjoy vibe endofinput seem classic gentleman get home work smoke cigar taking hat endofinput felt new york light orange warm room full people re…,anything maybe end credit something something sad emotional youd hear reflect life drink alone endofinput fit character walk high end club specifically new york city fit slow move endofinput self old school slow dance friend sip glass wine endofinput classic lounge prohibition era speakeasy somethin…,i was thinking of a scene in a christmas film where two people are in a posh restaurant | a jazz bar or slow dance in a movie scene | i can see a jazz stage the instruments on the side a curtain slowing raising show a beautifully dressed woman who is about to sing | i could imagine myself in a smoke…,it did not sound like a video game if anything maybe the end credits or something again sounded like something sad or emotional youd hear being played in a bar makes you reflect on your life while having a drink alone | does not fit with what i would imagine for a video game but does make me imagine…,Jaz_MED_02,Jaz_MED_07,movie,videogame,False,False,Jaz,Jaz,top
