idx_a,idx_b,similarity,text_a_model,text_b_model,text_a_orig,text_b_orig,clip_a,clip_b,context_a,context_b,same_clip,same_context,genre_a,genre_b,rank_type
952,1432,0.9657905300033538,end credits of a,the end credits of a,imagined end credits of a game,sounded like the end credits of a movie,80s_LOW_02,80s_MED_08,videogame,concert,False,False,80s,80s,top
117,118,0.9527663917361668,its an energetic with a strong beat and a powerful electric,it a energetic with a strong beat and a powerful electric,its an energetic rock song with a strong beat and a powerful electric guitar,it sounded like a energetic rock song with a strong beat and a powerful electric guitar,Met_LOW_09,Jaz_LOW_19,concert,concert,False,True,Metal,Jazz,top
1547,1550,0.9442566751953079,my mind instantly went to avenged sevenfold they were one of my favorite bands growing up and this exactly something i have heard before the solos really gave me an uplifting mood and me sit up in my chair i love this especially while working out or driving in the afternoons,my mind instantly went back to avenged sevenfold from a previous in this study i love this kind of and instantly got me hyped up more i envisioned myself in my car listening to something this after work and jamming out to the especially,my mind instantly went to avenged sevenfold they were one of my favorite bands growing up and this sounded exactly like something i have heard before the guitar solos really gave me an uplifting mood and made me sit up in my chair i love music like this especially while working out or driving in the…,my mind instantly went back to avenged sevenfold from a previous song in this study i love this kind of music and instantly got me hyped up more i envisioned myself in my car listening to something like this after work and jamming out to the drums especially,Met_MED_20,Met_MED_19,concert,movie,False,False,Metal,Metal,top
1497,1498,0.9431453924401475,my exboyfriends step dad loved the kiss and he always their in his room and that is exactly what i about when i heard this it brought some sad because our relationship did not end well,this kind of the last one so it me about the same thing someone i used to know that was in love with the kiss part of those were not good so this just me sad again i about sitting in the living room and hearing him jamming in his room,my exboyfriends step dad loved the band kiss and he would always play their music in his room and that is exactly what i thought about when i heard this song playing it brought some sad memories because our relationship did not end well,this sounded kind of like the last one so it made me think about the same thing someone i used to know that was in love with the band kiss part of those memories were not good so this just made me sad again i thought about sitting in the living room and hearing him jamming in his room,Met_LOW_14,Met_MED_20,bar,concert,False,False,Metal,Metal,top
878,880,0.9367857200074462,the context was but i even without that i have because it very typical of an older action fighting type or maybe a science fiction racing or something i really liked the and what kind of it suit as a soundtrack based on i have played in the past and my modest experience as a hobby designer,it said so i what type of it fit as a soundtrack and figured probably action or science fiction but then it also gave me strong vibes so i started that a bit too i have been very interested in terminator lately so i parts of that and the based on it especially the retro ones although it does not fit…,the context was video game but i think even without that i would have pictured games because it sounded very typical of an older action fighting type game or maybe a science fiction racing game or something i really liked the music and imagined what kind of game it would suit as a soundtrack based o…,it said movie so i imagined what type of movie it would fit as a soundtrack and figured probably action or science fiction but then it also gave me strong video game vibes so i started picturing that a bit too i have been very interested in terminator lately so i imagined parts of that movie and the…,Met_MED_19,Ele_LOW_09,videogame,movie,False,False,Metal,Electronic,top
1017,1551,0.933649378678565,i can see undertale on my computer screen i am fighting sans but the is not quite right i am not running my usual pacifist run so i have to attack him the of my hitting him are satisfying hes going down soon oh no i have just lost so much health to him i have to do this i can do this is all i can,this is the most common that i listen to when i work out i instantly start of when i am doing cardio and syncing the time that i start to speed up to the bass drop this me want to keep going even when i am tired which is why i love it so much,i can see undertale on my computer screen i am fighting sans but the music is not quite right i am not running my usual pacifist run so i have to attack him the sounds of my hitting him are satisfying hes going down soon oh no i have just lost so much health to him i have to do this i can do this is…,this is the most common music that i listen to when i work out i instantly start thinking of when i am doing cardio and syncing the time that i start to speed up to the bass drop music like this makes me want to keep going even when i am tired which is why i love it so much,Ele_LOW_14,Ele_LOW_09,movie,bar,False,False,Electronic,Electronic,top
663,1498,0.9329144410221071,i do not know why but this just simply reminded me of a character walking down the street in a that was jolly and happy because of something that has just happened one thing that led to was me about spiderman and how there is a where peter parker is walking down the road to the raindrops keep fallin…,this kind of the last one so it me about the same thing someone i used to know that was in love with the kiss part of those were not good so this just me sad again i about sitting in the living room and hearing him jamming in his room,i do not know why but this just simply reminded me of a movie character walking down the street in a movie that was jolly and happy because of something that has just happened one thing that led to was me thinking about spiderman and how there is a scene where peter parker is walking down the road t…,this sounded kind of like the last one so it made me think about the same thing someone i used to know that was in love with the band kiss part of those memories were not good so this just made me sad again i thought about sitting in the living room and hearing him jamming in his room,80s_MED_08,Met_MED_20,movie,concert,False,False,80s,Metal,top
1380,1382,0.9285184606777471,at first when it was just the i it at an upscale and quiet as i a player performing the but then as the rest of the came in i it being played at a fun and lighthearted where there is seating but also space for people to get up and dance to the,i was that this at an upscale initially with the delicate that was initially maybe at a place with a low stage and a with seating around it later as the vocals came in i it really set the mood for a in some fiction where two characters meet for the first time,at first when it was just the piano i could image it playing at an upscale and quiet bar as i could imagine a piano player performing the piece but then as the rest of the instrumental came in i could imagine it being played at a fun and lighthearted jazz bar where there is seating but also space fo…,i was thinking that this could play at an upscale bar initially with the delicate music that was playing initially maybe at a place with a low stage and a piano with seating around it later as the vocals came in i thought it could really set the mood for a scene in some fiction where two characters …,Jaz_LOW_19,80s_MED_13,bar,bar,False,True,Jazz,80s,top
880,883,0.9279025945516377,it said so i what type of it fit as a soundtrack and figured probably action or science fiction but then it also gave me strong vibes so i started that a bit too i have been very interested in terminator lately so i parts of that and the based on it especially the retro ones although it does not fit…,the context said but it did not so i just listened to it passively mostly although it did me of the falling in reverse and i about how it not really suit being on a soundtrack as it too generic,it said movie so i imagined what type of movie it would fit as a soundtrack and figured probably action or science fiction but then it also gave me strong video game vibes so i started picturing that a bit too i have been very interested in terminator lately so i imagined parts of that movie and the…,the context said movie but it did not sound movie like so i just listened to it passively mostly although it did remind me of the band falling in reverse and i thought about how it would not really suit being on a movie soundtrack as it sounded too generic,Ele_LOW_09,Met_MED_20,movie,movie,False,True,Electronic,Metal,top
874,1497,0.9272774839430346,the context prompt said typically heard in a but the heavy so i wasnt sure what to since i have never been to a that played that so i kind of just let my mind wander and do its thing which brought of a by a kiss or disturbed and that was cool,my exboyfriends step dad loved the kiss and he always their in his room and that is exactly what i about when i heard this it brought some sad because our relationship did not end well,the context prompt said typically heard in a bar but the music sounded like heavy metal so i wasnt sure what to imagine since i have never been to a bar that played music like that so i kind of just let my mind wander and do its thing which brought images of a rock concert by a band like kiss or dis…,my exboyfriends step dad loved the band kiss and he would always play their music in his room and that is exactly what i thought about when i heard this song playing it brought some sad memories because our relationship did not end well,Met_LOW_09,Met_LOW_14,bar,bar,False,True,Metal,Metal,top
