,context_word,genre_code,clip_name,ClipContext_pair,GenreContext_pair,METdescr_prepLVL1A
0,bar ,80s,80s_LOW_02,BAR-80s_LOW_02,BAR_80s,kind of sad melancholy not happy or upbeat emotionally charged endofasubhere made me imagine a high end with atmospheric lighting with candles or small lamps on tables cocktails old fashioned etc young staff dressed in black and white endofasubhere reminds me of back in the days my dad used to constantly kenny gs i wanted to learn how to a saxophone so bad endofasubhere noir rainy night in the inner city as the private eye walks somberly down the middle of the empty road very evocative endofasubhere felt like a scene out of a tv show i imagined a couple on the beach leaning on a car watching the sunset endofasubhere a relaxing vibe to it easy listening endofasubhere an unusual quietness in the as a result of the then afterwards a uniform round of applause and the usual chatter continues endofasubhere there is hope for a better tomorrow that was the thought that came to me while listening i believe in hope and faith endofasubhere it sounded like the kind of id hear during a montage in a coming of age endofasubhere i imagined basking on the balcony watching the sun fall and drinking wine endofasubhere it feels like love sound by west life and i enjoys the smoothness of it endofasubhere i imagine walking through a golden field at dawn hands open heart light theres no weight no noise just a steady beat like a heartbeat like grace in motion i see myself dancing not wildly but freely like my soul is exhaling endofasubhere the tune is relaxing endofasubhere fancy hotel lobby 4 to 5 stars endofasubhere the is very soft and cool mostly heard and played in luxurious restaurants endofasubhere it reminded me of a sad part in a maybe someone looking outside of a window whilst it rains outside endofasubhere firstly i pictured a but i think that was because of the prompt then i pictured a like zelda briefly then an orchestra and specifically a the endofasubhere romantic settings in a 80s themed wine with a couple looking lovingly into each others eyes endofasubhere a sultry romantic scene in a where someone was on the endofasubhere this made me think of a woman in the 1980s walking down one of the main streets in new york after an intense fight with her boyfriend she has big curly hair and an almost cream coat on with her handbag over her shoulder shes crying and walking slowly the background is dark but lit by street lights and building windows theres a small smoke effect in the air endofasubhere i imagine i am sitting in a dark place with a drink and my phone it appears to be a or club with a relaxed energy endofasubhere much slower so very late at night setting in a very black and dark vibes its a slow blowing tone so it could be an exotic and adult club setting one of the moody darker rooms in the back perhaps the corridor of a room full of doors slight paris texas or david lynch energy but the visions of a bela tarr especially damnation dark illusive and depressive vibe to the endofasubhere i imagined walking slowly through a peaceful garden while listening to the sounds endofasubhere dive customers sat at the some on round tables many of them alone a dart board and a pool table in the background mirrors everywhere wooden walls smokey fog endofasubhere i could imagine someone getting rejected after they tried helping them out and getting to know the other person for so long and it was very saddening for the person who asked the other out endofasubhere person would use junk box to the endofasubhere with a beautiful lady talking about life endofasubhere a lonely guy walking along a bridge maybe after being dumped by his girlfriend endofasubhere sad scenes of someone crying whilst going through a traumatic breakup its dark and rainy around them endofasubhere i have to a before and the sound seems very familiar endofasubhere evoked emotions like a love or sadness endofasubhere a morose and rueful scene of a person drinking alone in a and thinking about a past lover endofasubhere this did not evoke images like the others before it but more so feelings i found this to be quite sombre somewhat disheartening like in a when you need that little kicker to get the audience more invested in a character and you make something bad happen to them its usually raining endofasubhere yes i could picture walking into a posh drinking with this type of its relaxing endofasubhere 
1,bar ,80s,80s_LOW_06,BAR-80s_LOW_06,BAR_80s,the felt really 80s and so it was an image of a 80s style hawaiian with hula style decor endofasubhere the evokes the feeling of wanting to dance with friends endofasubhere it made me think about my husband and i miss him wanted to dance and laugh with him just listening to this sound endofasubhere i imagined myself and a few friends in a celebratory mood and the saxophonist giving us a special solo to help us enjoy our already happy night endofasubhere of course as somebody who drinks and goes to the severally i have great memories for this endofasubhere i imagined an instrumentalist performing a at a endofasubhere people dancing to this beats in a country side endofasubhere i thought of an 80s with lots of old and decor with 80s style of dressing fashion overall i imagined the to be quite pinky in colour endofasubhere i imagined dancing in a with my friends wearing a nice dress endofasubhere i have imagined this could while am on vacation in a hotel and mostly at night endofasubhere i imagine myself dancing to the alone in the room having some private moment endofasubhere a fancy not too crowded with saxophonist on stage entertaining people the crowd looks mature and well off endofasubhere night at a local there is a live performing this around the edges of the there are people just sitting and enjoying the at the centre of the tables and chairs have been moved to create a dance floor many people are dancing together and having a good time on the dance floor endofasubhere i hated this its cheesy and so awful it made me think of some 90s sitcom that is outdated and on constant repeat on some tv channel endofasubhere fancy restaurant or setting with the ability to dance in the place but mixed with some people dancing or a performance endofasubhere i am in japan its the 80s during the summer me and my girlfriend are in a night out in town shes wearing a nice dress we both have sun kissed skin and the glow of teenage youth she smiles at me and i smile back at her we go from the city to a club and were dancing as we stare into eachothers eyes with a smile and feeling that this night will never end endofasubhere very upbeat and happy i imagine a scene where people were happy and sat around a table laughing endofasubhere i imagined or saw two people standing apart in an elevator with the doors about to close the characters are both wearing smart attire and one is wearing a brown suite endofasubhere sticky floors ordering drinks at a toilets full of people endofasubhere chilling at the beach endofasubhere i am at a with a bunch of older generations endofasubhere it said and sounded very upbeat and jazzy so i imagined a nice cosy with warm ambient lighting and lots of people drinking and talking i imagined it was smoky and that there was a live on a small stage i really liked the endofasubhere i imagined a hot girl vibrantly dancing to the beats endofasubhere i thought of a 80s with 80s themed background and clothes endofasubhere i imagined sitting in a cozy with dim lights and a relaxed crowd the has a smooth feel like something youd hear late at night when everyones just unwinding people were chatting quietly sipping cocktails and just enjoying the atmosphere endofasubhere i pictured rick astely dancing in an old style next to some white brick walls endofasubhere 70s 80s scene people dancing endofasubhere i thought about partying with my friends at the end of the year endofasubhere i imagined a dancer or a group of dancers as an advert popped up it gave that kind of a feeling or vibe to it endofasubhere 
2,bar ,80s,80s_MED_08,BAR-80s_MED_08,BAR_80s,i think about an old 80s that takes place in a i think about a couple dancing and having a good time this brings feelings of nostalgia and good times endofasubhere sounds like a but particularly the outdoor seating area everyone is having cocktails or wine and its a warm evening with a slight breeze cobblestone streets endofasubhere i had to imagine something for this one because nothing was coming to me at first i thought about a gathering like a party but a more organized one like a company party where everyone is just sitting around in their own groups and eating some good food endofasubhere a peaceful somber scene with a bunch of friends hanging out in the afternoon endofasubhere like a performing in a endofasubhere this sounded like something you would hear in a classical diner as well immediately i go back to my early 20s when my friends and i would go to a dennys at 2 in the morning and hear this kind of they would have the jukebox and you could go and pay to have other played it was always great when this style of was on endofasubhere people dancing on the dance floor casually endofasubhere the sound is great and me thought of dancing in a party endofasubhere it absolutely screamed old sitcom introduction to me it gave me a bit of a chuckle right down to the synth strings it had all the instrumentation endofasubhere thoughts of kids watching their favourite show from the television endofasubhere it immediately made me think of children entertainment at somewhere like butlins where they put on entertainment for the children with masked characters roaming around i imagined a large room with banquet tables children running around interacting with different characters endofasubhere i kind get the feeling this type of is from like an old school teenage kicks where it when some kids go into school endofasubhere i could imagine myself watching a tv show or with my friends or family and seeing a scene with similar endofasubhere i imagined the opening credits to a comedy tv show from the 80s with each character of the show getting introduced one by one and this in the back as it shows all the characters endofasubhere it makes me think of being at a parade with balloons floating endofasubhere i imagine that its a retro night hence why they are this maybe a lot of old people have attended this one and everyone seems to be having a good time with retro decoration all around endofasubhere i saw the barkeep having glasses and other things thrown at them for subjecting people to this crap endofasubhere a chill talking for elderly endofasubhere scenes of enjoying the beach with drinks a clown juggling endofasubhere made me think of 80s and comedies again club from america and the fun parties endofasubhere it reminded me of being in kindergarten the is not the same but we had to do those activities where there was a boombox we had to keep walking until the stops and then sit down endofasubhere i was sat in a with my friend and had a drink in front of me the was from a small in the corner and i was sat listening along to it endofasubhere my sister who loves with this beat endofasubhere this was interesting imagined myself dancing in a with a beautiful lady holding each other closely endofasubhere the is a county it is very enjoyable endofasubhere people in a saxophones endofasubhere i pictured this being played in a with people dancing to it i think the demographic in the is slightly older and mostly female and i kind of thought of duke silver as the musician endofasubhere i imagined this being something theyd back in the 1970s 1908s in endofasubhere a scene that is a by the beach in summer endofasubhere 
3,bar ,80s,80s_MED_13,BAR-80s_MED_13,BAR_80s,i could only think about sitting on the couch as a kid and this would be the type of the would during the credits of an old vhs endofasubhere it sounded like perfect for an introduction into a or it was cool and somber endofasubhere this gave me a disco 80s vibe i imagined vibrant colors and afros endofasubhere a setting not much more came to my mind apart from that endofasubhere sounds like made for a staged performance mostly accompanied with choreography i think i have heard such kind of on america and british got talent endofasubhere the first thing i remembered was a super mario when i was younger then i thought about michael jackson endofasubhere a strange 90s where the artists are dressed in white fluffy jackets endofasubhere this strangely made me think of old 80s introduction to love comedies it was just so joyous and cheesy it fits that vibe perfect endofasubhere immediately i imagined a scene from jim henson labyrinth i could not imagine this in a it was a very romantic style as if someone was falling in love with a beautiful girl endofasubhere been played in a and sparking the relationship between couples endofasubhere the seems to be played in occasional events like wedding endofasubhere refreshed and at ease endofasubhere this sounds like the main menu theme for a japanese i can imagine myself loading the and getting a drink to prepare for my gaming session and this can be heard from my tv while i am doing so endofasubhere listening to it in my room endofasubhere it reminded me of the sound of starting your computer up in the early 2000s not sure if its the same endofasubhere i thought of the wonderful christmastime by tuxedo at first the had a vaguely oriental sound to it and i briefly imagined that it might be the introduction to a like enter the dragon endofasubhere i was imagining the ambience in the with the sound endofasubhere i definitely did not imagine a but i did envision watching one of the early 2000s educational science in elementary school it felt magical and nostalgic endofasubhere people in a with slow dancing moves which involves two by two dancing endofasubhere it just sound techno endofasubhere thought of endofasubhere at first it felt like i was watching the opening credits of a then it just felt like listening to soul endofasubhere the start of it the first few seconds make me think of the start of the disney theme tune so something magical endofasubhere i was thinking that this could at an upscale initially with the delicate that was initially maybe at a place with a low stage and a with seating around it later as the vocals came in i thought it could really set the mood for a scene in some fiction where two characters meet for the first time endofasubhere it sounds like a that might be from a small jukebox in the corner of a dark where there arent too many people i could imagine myself sitting in a booth enjoying a drink endofasubhere 
4,bar ,Ele,Ele_LOW_09,BAR-Ele_LOW_09,BAR_Ele,this made me think about europe or a specific country where electric is popular i thought about an outside where people are jumping up and down endofasubhere dark room with some strobe lighting and a dance floor with a dj sitting behind it theres a lot of people and its really crowded everyone is drinking or sitting next to the endofasubhere this one made me smile made me think about riding my motorcycle around night city in cyberpunk 2077 i am sorry if i use gaming a lot in my references but i do a lot but this one made me think about how beautiful that was and how i would love for them to release a sequel endofasubhere this felt like a compilation of on an advertisement that would show off a streaming platform of some sort just a generic fast paced that allows the to go from to of action fast endofasubhere cyberpunk tron racetrack endofasubhere it felt like the background for an adventure which is showing a montage of an adventurous scene endofasubhere this is the most common that i listen to when i work out i instantly start thinking of when i am doing cardio and syncing the time that i start to speed up to the bass drop like this makes me want to keep going even when i am tired which is why i love it so much endofasubhere the dj bringing everyone to start dancing endofasubhere i felt really energetic while listening endofasubhere thoughts of a big stadium full of people while the audio is being released endofasubhere it sounded to me like from a something futuristic like tron and the suspense built while i imagined fighting off robots in a futuristic setting endofasubhere to me this is either an add on a tv a sports car advert or something like a racing event like the f1 endofasubhere it seemed like something that would in a nightclub or in my headphones if i were listening to endofasubhere i imagined a car lining up with a lot of other cars getting ready for a race then going once the race starts and going very fast beating all the other cars endofasubhere this would be heard at a techno where i imagine the would be very loud large crowds around the with everyone wanting to get the bartenders attentions endofasubhere sounds like the kind of tech companies when announcing a new phone endofasubhere battle background or specifically the background of the arena in a gacha endofasubhere it felt like a fight scene was about to happen or a high speed car chase it sounds like something you would hear in the fast and the furious endofasubhere made me think of those where it is 3d and you can kill little characters they are fun and a lot of the i played growing up as well endofasubhere when the first note appeared it reminded me of racing like forza i imagine controlling the car while the gets all hyped up i am making actions like swerving the car and drifting like it is one of those fast and furious endofasubhere it was a very hyper soundtrack so it made me think about my trips at the and how vibrant it was there too endofasubhere i imagined a because the was dance hall sort of and thought of many people dancing with joy endofasubhere it made me think of some sort of cyberpunk heist scene like gearing up for a heist other than that not much endofasubhere this is a really odd now that i am thinking about it not many of these have matched the context given endofasubhere the is giving club vibes endofasubhere at first i thought this was in a but when i listened i imagined a techno style festival where there were strobe lights endofasubhere i imagined myself hearing this kind of in a night club endofasubhere 
5,bar ,Ele,Ele_LOW_14,BAR-Ele_LOW_14,BAR_Ele,feels very busy like i am driving around doing something important something is happening going on or i have a task i need to do urgently endofasubhere makes me think of those gaming where you drink and they have old consoles like pac man etc or in a 70s 80s 90s themed endofasubhere i imagined being in rave with several led and strobe lights everyones having fun and dancing around with a partner endofasubhere this feels like it was just ripped straight from a level in shovel knight dunno which though never beat it myself if you this in a theyll laugh you straight out endofasubhere that was entirely from an old like mega man or something like that endofasubhere it sounded like classic endofasubhere a scene were theres a party at the after a victory endofasubhere having it rough and tough in life experiencing a stressful period in your life and just feeling so worn out sometimes endofasubhere it has a nice laidback vibe the kind of you could listen while hanging out with friends on a summer evening endofasubhere i imagine we are dat with my friends in the and this its my favorite so i stand up and dance endofasubhere i felt entertained by the tune endofasubhere sounds from a pac man arcade machine endofasubhere i thought i was in a club dancing with a partner the was being played by a dj late in the night endofasubhere i was imagining a retro kind of like snake endofasubhere geometry dash again and then this other similar that takes place in space i believe its called run or rush but i was just imagining what the screen looks like when you those endofasubhere this brought back memories of me at rave with my friends early hours of the morning all sweaty dancing our socks off laser lights going off fun times endofasubhere a bunch of little aliens performing a tech endofasubhere i imagined an outdoor rave with people dancing lights flashing fireworks being set off in the background some people sitting and eating food the atmosphere is lively its nighttime endofasubhere when i heard this i thought about being at a edm event and the about to drop to the next phase of the endofasubhere its not as heavy as ibiza dance its more like an edm festival so for a setting i simply envisioned a very bright and perhaps early evening but a late sunrise so perhaps middle of summer or late summer the people are old and young as the is not a certain demographic and has 8 or 2 to 4 bit remedies so can be nostalgic for a middle aged crowd as well as modern and up to date for younger crowds for some reason it reminded me of gaming too and specifically minecraft so can apply to this demographic possibly too endofasubhere bring memories of hangouts with friends endofasubhere i imagined being in a dark crowded club with flashing lights dancing to the rhythms and beats pulsing through my body endofasubhere retro platformers maybe boss levels endofasubhere i could imagine this in a 2nd pixel with the main character finally getting to the last boss of the after so many hard trials endofasubhere people listen to electropop at the festival dj would drop the beat endofasubhere in a drunk and dancing uncontrollably endofasubhere sounds like to me the beginning of a classic 80s 90s house proper great nostalgic feeling that comes with it makes you want to dance endofasubhere mario endofasubhere i imagined people dancing at techno raves having a good time and jumping around i also imagined whooshing fireworks and arcade being played endofasubhere it was too loud i was wondering when it will end endofasubhere 8 bit frog jumping around in some psychedelic 90s style playstation endofasubhere a futuristic where people have many cybernetic augmentations taking foreign drugs endofasubhere i think this fits more endofasubhere i pictured a weird sort of and arcade combo a place where you can buy food and drink but its also filled with retro arcade machines for you to on lots of neon lights and signs somewhat nerdy and eccentric endofasubhere i could imagine this on a mobile rpg level or something like mario i could not picture this in a at all endofasubhere 
6,bar ,Ele,Ele_MED_19,BAR-Ele_MED_19,BAR_Ele,this felt like i was listening to a lofi beats spotify playlist its quite relaxing endofasubhere a rainy day and a forest endofasubhere i can see myself in a car as a passenger rain rolling down the windows as we drive on the interstate just outside of boston the sky is gloomy and there is so much fog in the sky or is it the clouds its very somber i am moving away from something to start a new life my heart is broken as i am leaving it all behind endofasubhere i was a dim lit with not a ton of people and had a melancholy feel in the beginning endofasubhere i instantly imagined myself sat in a by myself feeling pretty down and then when the beat dropped i imagined locking eyes with someone this feels like meeting someone special for the first time endofasubhere sounded more like the background used by choreographers for instance during a ballet dance endofasubhere the sounds reminds me of prom night with my ex boyfriend the memory endofasubhere the first part did not remind me of much but when the beat came i started to think about when i was clubbing in my first week of university with friends i had just met the beat brought me back to the club endofasubhere i imagined myself sitting in a brunch drinking a milkshake and waiting for a grilled sandwich the was somewhat dark in colour trendy endofasubhere this was wildly similar to minecraft i would think it was if heard in makes me feel relaxed and nice endofasubhere with just the chords at the beginning i pictured someone sad looking out the window of a car crying but when the beat kicked in i could not really picture anything endofasubhere an advertisement of a real estate company prompting viewers about the list of available houses and payment techniques endofasubhere i saw a guy sitting at a in a black leather jacket drinking a beer endofasubhere i thought the sounded almost sad and contemplative a weird choice for a but then more kicked in and in addition to feeling sad it started feeling active something that is nice to listen to and gentle a good beat that catches the ear but is not too obtrusive as background noise endofasubhere it sounded like twilight endofasubhere one of my favourite i could listen to this anywhere so reminds me of lots of different things but particularly being on a walk or on a train looking at the world go by endofasubhere i have heard the during my camping days endofasubhere i imagined i was watching a i could see a character who was solemn yet determined after experiencing some sort of negative event of a set back of some kind they are in a dimly lit library with a warm undertone the character is reading a book but also has a stern expression as if in deep thought beyond the book itself while they sit at a messy desk that feels cluttered yet cluttered with a purpose endofasubhere it started to sound like something from sad romantic scene but then when the changed i was unsure of this endofasubhere this sounded like it could be placing at the beginning of a set in the 1970s it evoked thoughts of the disco era i was randomly reminded of the sleeping dogs endofasubhere surprisingly this inspired me to imagine some vivid scenes endofasubhere this sounds like the focus on an app i have the keep me focused while working a simple calm and relaxing melody endofasubhere it reminds me of my grandfather endofasubhere i imagined a romance drama with the main character going through life alone after a breakup the scene was dark moody but the tone of the wasnt overly depressing more like a transition between the breakup scene and a more positive scene endofasubhere a where mostly it is attended by rich people and normally drink expensive liquor endofasubhere i imagined spacing out to this npc endofasubhere i imagined a endofasubhere it felt really good to listen i imagined a scene where i was on vacation with my partner in a cozy setting fireplace and good vibes endofasubhere i was thinking that initially i could see this being played a at a small and intimate venue but when the beat and other elements of the kicked in i was visualising this over a set of speakers in a midsized full of younger patrons endofasubhere it sounds like something that would maybe be played during a djs warm up set in a semi empty the would be more modern looking endofasubhere i was really vibing with the first bit and it reminded me of an indie where someone is riding a bus and looking out of the window but they do not quite have the rights to so it is copyright free then it started to almost sound like dubstep and that vision switched to someone making for the first time and just adding things in that might sound good endofasubhere sounds like background while studying or working to keep you focused and improve the mood it gives me laid back but composed vibes endofasubhere 
7,bar ,Ele,Ele_MED_20,BAR-Ele_MED_20,BAR_Ele,sounds futuristic ambient endofasubhere the relates to moments where one is traveling solo to explore new things endofasubhere serenepeacefulthoughtful and peaceful endofasubhere i felt at peace while listening to this it made me calm and feel present in the moment endofasubhere this one reminds me of a nigerian i watched some time back the was so sad its called blood sisters in it the younger sister falls in love with her big sisters husband and she ends up poisoning her elder sister out of jealousy endofasubhere thought of myself in a cool place drinking wine the is so rhythmical and i could connect to it endofasubhere i imagined a in the background of a endofasubhere people dancing romantically in a endofasubhere a gentle dancing lady endofasubhere i imagined of a that could start while a slow move the after a while it will speed to make everyone listening to it shake their heads in joy endofasubhere a calm and cozy with people seated drinking and chatting no dancing endofasubhere this made me feel like i was floating around space or on top of the clouds watching the world go by the pulsating beat made me think of how life can be slow and sometimes we just need to stop endofasubhere i never heard this at a to be honest does not have this kind of i imagined being lonely at the beach looking at the view of the sea endofasubhere i am on the rooftop of a tall building in the city i am dealing with the grief of a painful loss i gaze out into the city my face stoic but my heart torn and my body numb the wind rustles through my hair it begins to rain the smell of city smog combines with the smell of petrichor and i endofasubhere a person in deep thought who is alone for the first time after a long day working out a murder crime they are at home with a drink endofasubhere i imagined something outdoorsy or something out in nature endofasubhere elastic foxes wild animals endofasubhere i imagined the sun coming up on the horizon as the grass sways in a big open field it is dawn and the sun is coming up for a new day to start endofasubhere what would i hear this in what is everyone doing in this i feel like it would be a more restaurant endofasubhere it said it was a and the sounded like that popular genre that is called loft or something that is smooth and relaxing with a jazzy feel so i imagined a calm modern looking part and a mysterious detective type guy smoking and going over his case notes it reminded me a bit of the jake hunter series in atmosphere but not soundtrack endofasubhere i just imagined myself in a just calmly seated in silence endofasubhere i imagined hanging out at a laidback with friends on a weekend the is smooth and relaxed setting a chill mood where everyones just talking laughing and unwinding people were sitting at the sipping drinks and just enjoying the easygoing vibe endofasubhere the scene was a new computer operating system start up sound with that being the start up sound endofasubhere feel like i am at a work conference where a company is launching a new product not like at all endofasubhere i really enjoyed this type of it gives me the trance like feeling of being in a city or unwinding in a futuristic it is fantastic endofasubhere 
8,bar ,Jaz,Jaz_LOW_19,BAR-Jaz_LOW_19,BAR_Jaz,this felt like i was in an american i think american because i havent been to a british one and i have seen plenty of american ones in tv and maybe i would be drinking a cocktail endofasubhere at first it sounded like something out of a mario bros and then when the main section came in it was like sitting in a endofasubhere i can see a from the 1920s i see people dancing the strings on the flapper dresses are flying the men sliding the ladies around between their legs over their shoulders everyone is smiling and having fun endofasubhere it was slow at first then the really started grooving i really enjoyed the swinging endofasubhere i was envisioning a dinner where you are taking orders trying to get as many tables complete as you can in the time frame given endofasubhere the beginning had a sinister vibe it reminded me of bowser castle in mario cart however the brought a happier tone vibe endofasubhere sounds like a with a live audience endofasubhere the sound gives made me imagine myself in a race track trying to catch up with the best of runners endofasubhere it reminded me of mario the original to start with endofasubhere the first section reminded me of my school department where bands would practice the second part with the trumpets reminded me of some scenes in whiplash endofasubhere i imagined an urgent chase overwhelming feeling of having listened to this before the other are similar to what i have heard before but i havent actually heard them this one felt different endofasubhere the at the beginning really gave me a vivid image of bowser and mario because the notes were similar to the that on a bowser fight level but when the saxophone kicked in i thought of someone dancing in las vegas in the 80s endofasubhere a group of both old and young men at a talking about how their various lives have been so far and talking about ways in which they could make a difference in the society endofasubhere i first thought of a guy on stage and then a while people sat in a restaurant eating and enjoying the and atmosphere endofasubhere at first it sounded dramatic and maybe like something from a spy then more picked up and it intensified the sort of undercover noir spy vibe it had going on it seems a little odd to at a but it is very pleasant and feels fancy like a high class late night dinner party or something so it is a good vibe to set the mood endofasubhere i imagined being with friends in a lively we all all drinking and shouting at each other just so we could hear one another we are having a good time and everyone is dancing and having fun endofasubhere i had gone for my friends celebration then plenty of drinks were served while the was endofasubhere i am at my dads house as kid and i am watching him the old mario on the Super Nintendo Entertainment System as the progressed though it sounded more modern and more like a remix of an older something i would have heard in a new themed around an older endofasubhere when am in a restaurant endofasubhere at the very beginning of the i thought of a tom and jerry chase sequence which seemed to fit the pace of the however my thoughts then shifted to the opening scenes of the the odessa file the bulk of this sounds like it could easily fit into the soundtrack of the odessa file endofasubhere this made me think of lego star wars in the cantina part where the classic the bouncy style endofasubhere it reminds me of my home town juggler endofasubhere a live performance at a or karaoke endofasubhere at first when it was just the i could image it at an upscale and quiet as i could imagine a player performing the but then as the rest of the came in i could imagine it being played at a fun and lighthearted where there is seating but also space for people to get up and dance to the endofasubhere the sounded like it was being played by a small group of musicians in a that is geared towards arcade lovers or perhaps trivia nerds i could imagine it during a of trivia night or during a of mario kart endofasubhere it felt like at first something that would be in a mario or similar endofasubhere sounds similar to classical it reminds me of drinking alcohol in the and the reminds me of people socialising endofasubhere 
9,bar ,Jaz,Jaz_LOW_21,BAR-Jaz_LOW_21,BAR_Jaz,phoning some company for help and then being put on hold for a long time while this endofasubhere it sounds like elevator or the you get on a call when you are put on hold would also fit a generic supermarket in a endofasubhere in some sort of speakeasy if you have ever watched broad city theres an episode where abi turns into gail and sings at a speakeasy the reminded me of that endofasubhere the first thing i thought of was scenes from the old the jetsons cartoon and then just an image of a marimba or marimba type in front of me endofasubhere the captures the thought of exploring new places and meeting new people endofasubhere just sitting at the with friends and eating then letting this pass through the ears then you still with your friends like you do not have to get the time to listen just listen without attention endofasubhere i felt like i just walked in a warm friendly with great energy ready to enjoy my evening and listen to some great endofasubhere it reminds me of my early twenties when i was in college i used to party a lot and go to the endofasubhere it evokes thoughts of childhood memory scenes of christmas festivities endofasubhere i imagined a dancing performer dancing to this sound entertaining a crowd at the endofasubhere south african lady dancing endofasubhere according to my thoughts i imagined myself in my phone because the sound like one used in candy crash endofasubhere i imagined a scene where there was lot of people dancing to the at a endofasubhere a typical with a dance floor with couples dancing around each other while some are tap dancing endofasubhere this either made me think i was waiting in an elevator in a very tall building i guess the beating percussion is good for that or in a fun club in the 1920s dancing with all my friends endofasubhere reminds me of elevator or in a classy restaurant in new york city with waiters and waitresses walking around giving drinks out most likely in the 60s 70s endofasubhere it conjured up an image of some sort of animated eg up or waiting for a eg cooking mama endofasubhere i imagined i was at a fancy cocktail with a nice girl that i was flirting with the whole night endofasubhere i imagined a scene from the wreck it ralph where a character named tapper is serving drinks to his customers the character is in a so his movements are jittery and fast like a character endofasubhere it made me think of an old school show at first then i pictured a cool endofasubhere white tiles on a board or a show dancing endofasubhere tom and jerry endofasubhere i imagined people in an elevator as this played in the background it felt like you gently sway to endofasubhere the context was but it sounded nothing like a and i started to imagine a child a xylophone but not in much detail endofasubhere i thought of a hip and people drinking and sitting at the tables vibing to te endofasubhere almost is like elevator but the quickness of the sound makes me feel anxious like i am trapped in the elevator and its going between floors too fast endofasubhere this made me think of relaxing in a cozy with friends the vibe is smooth and mellow making the whole place feel warm and welcoming people are chatting laughing and enjoying their drinks while the softly in the background endofasubhere some nerdy dude this in his house that looks unkempt endofasubhere smokey lounge with men in suits thinking like a 60s scene endofasubhere i thought about childhood tv shows that we used to watch endofasubhere i get the imagination of being in a packed whilst people chat away with a this whilst people dance and have a good time endofasubhere 
