,context_word,genre_code,clip_name,ClipContext_pair,GenreContext_pair,textMIMC_lvl1b
0,bar,80s,80s_LOW_02,BAR-80s_LOW_02,BAR_80s,kind of sad melancholy not happy or upbeat emotionally charged endofinput made me imagine a high end with atmospheric lighting with candles or small lamps on tables cocktails old fashioned etc young staff dressed in black and white endofinput reminds me of back in the days my dad used to constantly kenny gs i wanted to learn how to a so bad endofinput noir rainy night in the inner city as the private eye walks somberly down the middle of the empty road very evocative endofinput felt like a scene out of a tv show i imagined a couple on the beach leaning on a car watching the sunset endofinput a relaxing vibe to it easy listening endofinput an unusual quietness in the as a result of the then afterwards a uniform round of applause and the usual chatter continues endofinput there is hope for a better tomorrow that was the thought that came to me while listening i believe in hope and faith endofinput it sounded like the kind of id hear during a montage in a coming of age endofinput i imagined basking on the balcony watching the sun fall and drinking wine endofinput it feels like love sound by west life and i enjoys the smoothness of it endofinput i imagine walking through a golden field at dawn hands open heart light theres no weight no noise just a steady beat like a heartbeat like grace in motion i see myself dancing not wildly but freely like my soul is exhaling endofinput the tune is relaxing endofinput fancy hotel lobby 4 to 5 stars endofinput the is very soft and cool mostly heard and played in luxurious restaurants endofinput it reminded me of a sad part in a maybe someone looking outside of a window whilst it rains outside endofinput firstly i pictured a but i think that was because of the prompt then i pictured a like zelda briefly then an orchestra and specifically a the endofinput romantic settings in a 80s themed wine with a couple looking lovingly into each others eyes endofinput a sultry romantic scene in a where someone was on the endofinput this made me think of a woman in the 1980s walking down one of the main streets in new york after an intense fight with her boyfriend she has big curly hair and an almost cream coat on with her handbag over her shoulder shes crying and walking slowly the background is dark but lit by street lights and building windows theres a small smoke effect in the air endofinput i imagine i am sitting in a dark place with a drink and my phone it appears to be a or club with a relaxed energy endofinput much slower so very late at night setting in a very black and dark vibes its a slow blowing tone so it be an exotic and adult club setting one of the moody darker rooms in the back perhaps the corridor of a room full of doors slight paris texas or david lynch energy but the visions of a bela tarr especially damnation dark illusive and depressive vibe to the endofinput i imagined walking slowly through a peaceful garden while listening to the sounds endofinput dive customers sat at the some on round tables many of them alone a dart board and a pool table in the background mirrors everywhere wooden walls smokey fog endofinput i imagine someone getting rejected after they tried helping them out and getting to know the other person for so long and it was very saddening for the person who asked the other out endofinput person use junk box to the endofinput with a beautiful lady talking about life endofinput a lonely guy walking along a bridge maybe after being dumped by his girlfriend endofinput sad scenes of someone crying whilst going through a traumatic breakup its dark and rainy around them endofinput i have to a before and the sound seems very familiar endofinput evoked emotions like a love or sadness endofinput a morose and rueful scene of a person drinking alone in a and thinking about a past lover endofinput this did not evoke images like the others before it but more so feelings i found this to be quite sombre somewhat disheartening like in a when you need that little kicker to get the audience more invested in a character and you make something bad happen to them its usually raining endofinput yes i picture walking into a posh drinking with this type of its relaxing endofinput 
1,bar,80s,80s_LOW_06,BAR-80s_LOW_06,BAR_80s,the felt really 80s and so it was an image of a 80s style hawaiian with hula style decor endofinput the evokes the feeling of wanting to dance with friends endofinput it made me think about my husband and i miss him wanted to dance and laugh with him just listening to this sound endofinput i imagined myself and a few friends in a celebratory mood and the saxophonist giving us a special solo to help us enjoy our already happy night endofinput of course as somebody who drinks and goes to the severally i have great memories for this endofinput i imagined an instrumentalist performing a at a endofinput people dancing to this beats in a country side endofinput i thought of an 80s with lots of old and decor with 80s style of dressing fashion overall i imagined the to be quite pinky in colour endofinput i imagined dancing in a with my friends wearing a nice dress endofinput i have imagined this while am on vacation in a hotel and mostly at night endofinput i imagine myself dancing to the alone in the room having some private moment endofinput a fancy not too crowded with saxophonist on stage entertaining people the crowd looks mature and well off endofinput night at a local there is a live performing this around the edges of the there are people just sitting and enjoying the at the centre of the tables and chairs have been moved to create a dance floor many people are dancing together and having a good time on the dance floor endofinput i hated this its cheesy and so awful it made me think of some 90s sitcom that is outdated and on constant repeat on some tv channel endofinput fancy restaurant or setting with the ability to dance in the place but mixed with some people dancing or a performance endofinput i am in japan its the 80s during the summer me and my girlfriend are in a night out in town shes wearing a nice dress we both have sun kissed skin and the glow of teenage youth she smiles at me and i smile back at her we go from the city to a club and were dancing as we stare into eachothers eyes with a smile and feeling that this night will never end endofinput very upbeat and happy i imagine a scene where people were happy and sat around a table laughing endofinput i imagined or saw two people standing apart in an elevator with the doors about to close the characters are both wearing smart attire and one is wearing a brown suite endofinput sticky floors ordering drinks at a toilets full of people endofinput chilling at the beach endofinput i am at a with a bunch of older generations endofinput it said and sounded very upbeat and jazzy so i imagined a nice cosy with warm ambient lighting and lots of people drinking and talking i imagined it was smoky and that there was a live on a small stage i really liked the endofinput i imagined a hot girl vibrantly dancing to the beats endofinput i thought of a 80s with 80s themed background and clothes endofinput i imagined sitting in a cozy with dim lights and a relaxed crowd the has a smooth feel like something youd hear late at night when everyones just unwinding people were chatting quietly sipping cocktails and just enjoying the atmosphere endofinput i pictured rick astely dancing in an old style next to some white brick walls endofinput 70s 80s scene people dancing endofinput i thought about partying with my friends at the end of the year endofinput i imagined a dancer or a group of dancers as an advert popped up it gave that kind of a feeling or vibe to it endofinput 
2,bar,80s,80s_MED_08,BAR-80s_MED_08,BAR_80s,i think about an old 80s that takes place in a i think about a couple dancing and having a good time this brings feelings of nostalgia and good times endofinput sounds like a but particularly the outdoor seating area everyone is having cocktails or wine and its a warm evening with a slight breeze cobblestone streets endofinput i had to imagine something for this one because nothing was coming to me at first i thought about a gathering like a party but a more organized one like a company party where everyone is just sitting around in their own groups and eating some good food endofinput a peaceful somber scene with a bunch of friends hanging out in the afternoon endofinput like a performing in a endofinput this sounded like something you hear in a classical diner as well immediately i go back to my early 20s when my friends and i go to a dennys at 2 in the morning and hear this kind of they have the jukebox and you go and pay to have other played it was always great when this style of was on endofinput people dancing on the dance floor casually endofinput the sound is great and me thought of dancing in a party endofinput it absolutely screamed old sitcom introduction to me it gave me a bit of a chuckle right down to the synth strings it had all the instrumentation endofinput thoughts of kids watching their favourite show from the television endofinput it immediately made me think of children entertainment at somewhere like butlins where they put on entertainment for the children with masked characters roaming around i imagined a large room with banquet tables children running around interacting with different characters endofinput i kind get the feeling this type of is from like an old school teenage kicks where it when some kids go into school endofinput i imagine myself watching a tv show or with my friends or family and seeing a scene with similar endofinput i imagined the opening credits to a comedy tv show from the 80s with each character of the show getting introduced one by one and this in the back as it shows all the characters endofinput it makes me think of being at a parade with balloons floating endofinput i imagine that its a retro night hence why they are this maybe a lot of old people have attended this one and everyone seems to be having a good time with retro decoration all around endofinput i saw the barkeep having glasses and other things thrown at them for subjecting people to this crap endofinput a chill talking for elderly endofinput scenes of enjoying the beach with drinks a clown juggling endofinput made me think of 80s and comedies again club from america and the fun parties endofinput it reminded me of being in kindergarten the is not the same but we had to do those activities where there was a boombox we had to keep walking until the stops and then sit down endofinput i was sat in a with my friend and had a drink in front of me the was from a small in the corner and i was sat listening along to it endofinput my sister who loves with this beat endofinput this was interesting imagined myself dancing in a with a beautiful lady holding each other closely endofinput the is a county it is very enjoyable endofinput people in a endofinput i pictured this being played in a with people dancing to it i think the demographic in the is slightly older and mostly female and i kind of thought of duke silver as the musician endofinput i imagined this being something theyd back in the 1970s 1908s in endofinput a scene that is a by the beach in summer endofinput 
3,bar,80s,80s_MED_13,BAR-80s_MED_13,BAR_80s,i only think about sitting on the couch as a kid and this be the type of the during the credits of an old vhs endofinput it sounded like perfect for an introduction into a or it was cool and somber endofinput this gave me a disco 80s vibe i imagined vibrant colors and afros endofinput a setting not much more came to my mind apart from that endofinput sounds like made for a staged performance mostly accompanied with choreography i think i have heard such kind of on america and british got talent endofinput the first thing i remembered was a super mario when i was younger then i thought about michael jackson endofinput a strange 90s where the artists are dressed in white fluffy jackets endofinput this strangely made me think of old 80s introduction to love comedies it was just so joyous and cheesy it fits that vibe perfect endofinput immediately i imagined a scene from jim henson labyrinth i not imagine this in a it was a very romantic style as if someone was falling in love with a beautiful girl endofinput been played in a and sparking the relationship between couples endofinput the seems to be played in occasional events like wedding endofinput refreshed and at ease endofinput this sounds like the main menu theme for a japanese i can imagine myself loading the and getting a drink to prepare for my gaming session and this can be heard from my tv while i am doing so endofinput listening to it in my room endofinput it reminded me of the sound of starting your computer up in the early 2000s not sure if its the same endofinput i thought of the wonderful christmastime by tuxedo at first the had a vaguely oriental sound to it and i briefly imagined that it might be the introduction to a like enter the dragon endofinput i was imagining the ambience in the with the sound endofinput i definitely did not imagine a but i did envision watching one of the early 2000s educational science in elementary school it felt magical and nostalgic endofinput people in a with slow dancing moves which involves two by two dancing endofinput it just sound techno endofinput thought of endofinput at first it felt like i was watching the opening credits of a then it just felt like listening to soul endofinput the start of it the first few seconds make me think of the start of the disney theme tune so something magical endofinput i was thinking that this at an upscale initially with the delicate that was initially maybe at a place with a low stage and a with seating around it later as the vocals came in i thought it really set the mood for a scene in some fiction where two characters meet for the first time endofinput it sounds like a that might be from a small jukebox in the corner of a dark where there arent too many people i imagine myself sitting in a booth enjoying a drink endofinput 
4,bar,Ele,Ele_LOW_09,BAR-Ele_LOW_09,BAR_Ele,this made me think about europe or a specific country where electric is popular i thought about an outside where people are jumping up and down endofinput dark room with some strobe lighting and a dance floor with a dj sitting behind it theres a lot of people and its really crowded everyone is drinking or sitting next to the endofinput this one made me smile made me think about riding my motorcycle around night city in cyberpunk 2077 i am sorry if i use gaming a lot in my references but i do a lot but this one made me think about how beautiful that was and how i love for them to release a sequel endofinput this felt like a compilation of on an advertisement that show off a streaming platform of some sort just a generic fast paced that allows the to go from to of action fast endofinput cyberpunk tron racetrack endofinput it felt like the background for an adventure which is showing a montage of an adventurous scene endofinput this is the most common that i listen to when i work out i instantly start thinking of when i am doing cardio and syncing the time that i start to speed up to the bass drop like this makes me want to keep going even when i am tired which is why i love it so much endofinput the dj bringing everyone to start dancing endofinput i felt really energetic while listening endofinput thoughts of a big stadium full of people while the audio is being released endofinput it sounded to me like from a something futuristic like tron and the suspense built while i imagined fighting off robots in a futuristic setting endofinput to me this is either an add on a tv a sports car advert or something like a racing event like the f1 endofinput it seemed like something that in a nightclub or in my headphones if i were listening to endofinput i imagined a car lining up with a lot of other cars getting ready for a race then going once the race starts and going very fast beating all the other cars endofinput this be heard at a techno where i imagine the be very loud large crowds around the with everyone wanting to get the bartenders attentions endofinput sounds like the kind of tech companies when announcing a new phone endofinput battle background or specifically the background of the arena in a gacha endofinput it felt like a fight scene was about to happen or a high speed car chase it sounds like something you hear in the fast and the furious endofinput made me think of those where it is 3d and you can kill little characters they are fun and a lot of the i played growing up as well endofinput when the first note appeared it reminded me of racing like forza i imagine controlling the car while the gets all hyped up i am making actions like swerving the car and drifting like it is one of those fast and furious endofinput it was a very hyper soundtrack so it made me think about my trips at the and how vibrant it was there too endofinput i imagined a because the was dance hall sort of and thought of many people dancing with joy endofinput it made me think of some sort of cyberpunk heist scene like gearing up for a heist other than that not much endofinput this is a really odd now that i am thinking about it not many of these have matched the context given endofinput the is giving club vibes endofinput at first i thought this was in a but when i listened i imagined a techno style festival where there were strobe lights endofinput i imagined myself hearing this kind of in a night club endofinput 
5,bar,Ele,Ele_LOW_14,BAR-Ele_LOW_14,BAR_Ele,feels very busy like i am driving around doing something important something is happening going on or i have a task i need to do urgently endofinput makes me think of those gaming where you drink and they have old consoles like pac man etc or in a 70s 80s 90s themed endofinput i imagined being in rave with several led and strobe lights everyones having fun and dancing around with a partner endofinput this feels like it was just ripped straight from a level in shovel knight dunno which though never beat it myself if you this in a theyll laugh you straight out endofinput that was entirely from an old like mega man or something like that endofinput it sounded like classic endofinput a scene were theres a party at the after a victory endofinput having it rough and tough in life experiencing a stressful period in your life and just feeling so worn out sometimes endofinput it has a nice laidback vibe the kind of you listen while hanging out with friends on a summer evening endofinput i imagine we are dat with my friends in the and this its my favorite so i stand up and dance endofinput i felt entertained by the tune endofinput sounds from a pac man arcade machine endofinput i thought i was in a club dancing with a partner the was being played by a dj late in the night endofinput i was imagining a retro kind of like snake endofinput geometry dash again and then this other similar that takes place in space i believe its called run or rush but i was just imagining what the screen looks like when you those endofinput this brought back memories of me at rave with my friends early hours of the morning all sweaty dancing our socks off laser lights going off fun times endofinput a bunch of little aliens performing a tech endofinput i imagined an outdoor rave with people dancing lights flashing fireworks being set off in the background some people sitting and eating food the atmosphere is lively its nighttime endofinput when i heard this i thought about being at a edm event and the about to drop to the next phase of the endofinput its not as heavy as ibiza dance its more like an edm festival so for a setting i simply envisioned a very bright and perhaps early evening but a late sunrise so perhaps middle of summer or late summer the people are old and young as the is not a certain demographic and has 8 or 2 to 4 bit remedies so can be nostalgic for a middle aged crowd as well as modern and up to date for younger crowds for some reason it reminded me of gaming too and specifically minecraft so can apply to this demographic possibly too endofinput bring memories of hangouts with friends endofinput i imagined being in a dark crowded club with flashing lights dancing to the rhythms and beats pulsing through my body endofinput retro platformers maybe boss levels endofinput i imagine this in a 2nd pixel with the main character finally getting to the last boss of the after so many hard trials endofinput people listen to electropop at the festival dj drop the beat endofinput in a drunk and dancing uncontrollably endofinput sounds like to me the beginning of a classic 80s 90s house proper great nostalgic feeling that comes with it makes you want to dance endofinput mario endofinput i imagined people dancing at techno raves having a good time and jumping around i also imagined whooshing fireworks and arcade being played endofinput it was too loud i was wondering when it will end endofinput 8 bit frog jumping around in some psychedelic 90s style playstation endofinput a futuristic where people have many cybernetic augmentations taking foreign drugs endofinput i think this fits more endofinput i pictured a weird sort of and arcade combo a place where you can buy food and drink but its also filled with retro arcade machines for you to on lots of neon lights and signs somewhat nerdy and eccentric endofinput i imagine this on a mobile rpg level or something like mario i not picture this in a at all endofinput 
6,bar,Ele,Ele_MED_19,BAR-Ele_MED_19,BAR_Ele,this felt like i was listening to a lofi beats spotify playlist its quite relaxing endofinput a rainy day and a forest endofinput i can see myself in a car as a passenger rain rolling down the windows as we drive on the interstate just outside of boston the sky is gloomy and there is so much fog in the sky or is it the clouds its very somber i am moving away from something to start a new life my heart is broken as i am leaving it all behind endofinput i was a dim lit with not a ton of people and had a melancholy feel in the beginning endofinput i instantly imagined myself sat in a by myself feeling pretty down and then when the beat dropped i imagined locking eyes with someone this feels like meeting someone special for the first time endofinput sounded more like the background used by choreographers for instance during a ballet dance endofinput the sounds reminds me of prom night with my ex boyfriend the memory endofinput the first part did not remind me of much but when the beat came i started to think about when i was clubbing in my first week of university with friends i had just met the beat brought me back to the club endofinput i imagined myself sitting in a brunch drinking a milkshake and waiting for a grilled sandwich the was somewhat dark in colour trendy endofinput this was wildly similar to minecraft i think it was if heard in makes me feel relaxed and nice endofinput with just the chords at the beginning i pictured someone sad looking out the window of a car crying but when the beat kicked in i not really picture anything endofinput an advertisement of a real estate company prompting viewers about the list of available houses and payment techniques endofinput i saw a guy sitting at a in a black leather jacket drinking a beer endofinput i thought the sounded almost sad and contemplative a weird choice for a but then more kicked in and in addition to feeling sad it started feeling active something that is nice to listen to and gentle a good beat that catches the ear but is not too obtrusive as background noise endofinput it sounded like twilight endofinput one of my favourite i listen to this anywhere so reminds me of lots of different things but particularly being on a walk or on a train looking at the world go by endofinput i have heard the during my camping days endofinput i imagined i was watching a i see a character who was solemn yet determined after experiencing some sort of negative event of a set back of some kind they are in a dimly lit library with a warm undertone the character is reading a book but also has a stern expression as if in deep thought beyond the book itself while they sit at a messy desk that feels cluttered yet cluttered with a purpose endofinput it started to sound like something from sad romantic scene but then when the changed i was unsure of this endofinput this sounded like it be placing at the beginning of a set in the 1970s it evoked thoughts of the disco era i was randomly reminded of the sleeping dogs endofinput surprisingly this inspired me to imagine some vivid scenes endofinput this sounds like the focus on an app i have the keep me focused while working a simple calm and relaxing melody endofinput it reminds me of my grandfather endofinput i imagined a romance drama with the main character going through life alone after a breakup the scene was dark moody but the tone of the wasnt overly depressing more like a transition between the breakup scene and a more positive scene endofinput a where mostly it is attended by rich people and normally drink expensive liquor endofinput i imagined spacing out to this npc endofinput i imagined a endofinput it felt really good to listen i imagined a scene where i was on vacation with my partner in a cozy setting fireplace and good vibes endofinput i was thinking that initially i see this being played a at a small and intimate venue but when the beat and other elements of the kicked in i was visualising this over a set of speakers in a midsized full of younger patrons endofinput it sounds like something that maybe be played during a djs warm up set in a semi empty the be more modern looking endofinput i was really vibing with the first bit and it reminded me of an indie where someone is riding a bus and looking out of the window but they do not quite have the rights to so it is copyright free then it started to almost sound like dubstep and that vision switched to someone making for the first time and just adding things in that might sound good endofinput sounds like background while studying or working to keep you focused and improve the mood it gives me laid back but composed vibes endofinput 
7,bar,Ele,Ele_MED_20,BAR-Ele_MED_20,BAR_Ele,sounds futuristic ambient endofinput the relates to moments where one is traveling solo to explore new things endofinput serenepeacefulthoughtful and peaceful endofinput i felt at peace while listening to this it made me calm and feel present in the moment endofinput this one reminds me of a nigerian i watched some time back the was so sad its called blood sisters in it the younger sister falls in love with her big sisters husband and she ends up poisoning her elder sister out of jealousy endofinput thought of myself in a cool place drinking wine the is so rhythmical and i connect to it endofinput i imagined a in the background of a endofinput people dancing romantically in a endofinput a gentle dancing lady endofinput i imagined of a that start while a slow move the after a while it will speed to make everyone listening to it shake their heads in joy endofinput a calm and cozy with people seated drinking and chatting no dancing endofinput this made me feel like i was floating around space or on top of the clouds watching the world go by the pulsating beat made me think of how life can be slow and sometimes we just need to stop endofinput i never heard this at a to be honest does not have this kind of i imagined being lonely at the beach looking at the view of the sea endofinput i am on the rooftop of a tall building in the city i am dealing with the grief of a painful loss i gaze out into the city my face stoic but my heart torn and my body numb the wind rustles through my hair it begins to rain the smell of city smog combines with the smell of petrichor and i endofinput a person in deep thought who is alone for the first time after a long day working out a murder crime they are at home with a drink endofinput i imagined something outdoorsy or something out in nature endofinput elastic foxes wild animals endofinput i imagined the sun coming up on the horizon as the grass sways in a big open field it is dawn and the sun is coming up for a new day to start endofinput what i hear this in what is everyone doing in this i feel like it be a more restaurant endofinput it said it was a and the sounded like that popular genre that is called loft or something that is smooth and relaxing with a jazzy feel so i imagined a calm modern looking part and a mysterious detective type guy smoking and going over his case notes it reminded me a bit of the jake hunter series in atmosphere but not soundtrack endofinput i just imagined myself in a just calmly seated in silence endofinput i imagined hanging out at a laidback with friends on a weekend the is smooth and relaxed setting a chill mood where everyones just talking laughing and unwinding people were sitting at the sipping drinks and just enjoying the easygoing vibe endofinput the scene was a new computer operating system start up sound with that being the start up sound endofinput feel like i am at a work conference where a company is launching a new product not like at all endofinput i really enjoyed this type of it gives me the trance like feeling of being in a city or unwinding in a futuristic it is fantastic endofinput 
8,bar,Jaz,Jaz_LOW_19,BAR-Jaz_LOW_19,BAR_Jaz,this felt like i was in an american i think american because i havent been to a british one and i have seen plenty of american ones in tv and maybe i be drinking a cocktail endofinput at first it sounded like something out of a mario bros and then when the main section came in it was like sitting in a endofinput i can see a from the 1920s i see people dancing the strings on the flapper dresses are flying the men sliding the ladies around between their legs over their shoulders everyone is smiling and having fun endofinput it was slow at first then the really started grooving i really enjoyed the swinging endofinput i was envisioning a dinner where you are taking orders trying to get as many tables complete as you can in the time frame given endofinput the beginning had a sinister vibe it reminded me of bowser castle in mario cart however the brought a happier tone vibe endofinput sounds like a with a live audience endofinput the sound gives made me imagine myself in a race track trying to catch up with the best of runners endofinput it reminded me of mario the original to start with endofinput the first section reminded me of my school department where bands practice the second part with the trumpets reminded me of some scenes in whiplash endofinput i imagined an urgent chase overwhelming feeling of having listened to this before the other are similar to what i have heard before but i havent actually heard them this one felt different endofinput the at the beginning really gave me a vivid image of bowser and mario because the notes were similar to the that on a bowser fight level but when the kicked in i thought of someone dancing in las vegas in the 80s endofinput a group of both old and young men at a talking about how their various lives have been so far and talking about ways in which they make a difference in the society endofinput i first thought of a guy on stage and then a while people sat in a restaurant eating and enjoying the and atmosphere endofinput at first it sounded dramatic and maybe like something from a spy then more picked up and it intensified the sort of undercover noir spy vibe it had going on it seems a little odd to at a but it is very pleasant and feels fancy like a high class late night dinner party or something so it is a good vibe to set the mood endofinput i imagined being with friends in a lively we all all drinking and shouting at each other just so we hear one another we are having a good time and everyone is dancing and having fun endofinput i had gone for my friends celebration then plenty of drinks were served while the was endofinput i am at my dads house as kid and i am watching him the old mario on the Super Nintendo Entertainment System as the progressed though it sounded more modern and more like a remix of an older something i have heard in a new themed around an older endofinput when am in a restaurant endofinput at the very beginning of the i thought of a tom and jerry chase sequence which seemed to fit the pace of the however my thoughts then shifted to the opening scenes of the the odessa file the bulk of this sounds like it easily fit into the soundtrack of the odessa file endofinput this made me think of lego star wars in the cantina part where the classic the bouncy style endofinput it reminds me of my home town juggler endofinput a live performance at a or karaoke endofinput at first when it was just the i image it at an upscale and quiet as i imagine a player performing the but then as the rest of the came in i imagine it being played at a fun and lighthearted where there is seating but also space for people to get up and dance to the endofinput the sounded like it was being played by a small group of musicians in a that is geared towards arcade lovers or perhaps trivia nerds i imagine it during a of trivia night or during a of mario kart endofinput it felt like at first something that be in a mario or similar endofinput sounds similar to classical it reminds me of drinking alcohol in the and the reminds me of people socialising endofinput 
9,bar,Jaz,Jaz_LOW_21,BAR-Jaz_LOW_21,BAR_Jaz,phoning some company for help and then being put on hold for a long time while this endofinput it sounds like elevator or the you get on a call when you are put on hold also fit a generic supermarket in a endofinput in some sort of speakeasy if you have ever watched broad city theres an episode where abi turns into gail and at a speakeasy the reminded me of that endofinput the first thing i thought of was scenes from the old the jetsons cartoon and then just an image of a marimba or marimba type in front of me endofinput the captures the thought of exploring new places and meeting new people endofinput just sitting at the with friends and eating then letting this pass through the ears then you still with your friends like you do not have to get the time to listen just listen without attention endofinput i felt like i just walked in a warm friendly with great energy ready to enjoy my evening and listen to some great endofinput it reminds me of my early twenties when i was in college i used to party a lot and go to the endofinput it evokes thoughts of childhood memory scenes of christmas festivities endofinput i imagined a dancing performer dancing to this sound entertaining a crowd at the endofinput south african lady dancing endofinput according to my thoughts i imagined myself in my phone because the sound like one used in candy crash endofinput i imagined a scene where there was lot of people dancing to the at a endofinput a typical with a dance floor with couples dancing around each other while some are tap dancing endofinput this either made me think i was waiting in an elevator in a very tall building i guess the beating percussion is good for that or in a fun club in the 1920s dancing with all my friends endofinput reminds me of elevator or in a classy restaurant in new york city with waiters and waitresses walking around giving drinks out most likely in the 60s 70s endofinput it conjured up an image of some sort of animated eg up or waiting for a eg cooking mama endofinput i imagined i was at a fancy cocktail with a nice girl that i was flirting with the whole night endofinput i imagined a scene from the wreck it ralph where a character named tapper is serving drinks to his customers the character is in a so his movements are jittery and fast like a character endofinput it made me think of an old school show at first then i pictured a cool endofinput white tiles on a board or a show dancing endofinput tom and jerry endofinput i imagined people in an elevator as this played in the background it felt like you gently sway to endofinput the context was but it sounded nothing like a and i started to imagine a child a but not in much detail endofinput i thought of a hip and people drinking and sitting at the tables vibing to te endofinput almost is like elevator but the quickness of the sound makes me feel anxious like i am trapped in the elevator and its going between floors too fast endofinput this made me think of relaxing in a cozy with friends the vibe is smooth and mellow making the whole place feel warm and welcoming people are chatting laughing and enjoying their drinks while the softly in the background endofinput some nerdy dude this in his house that looks unkempt endofinput smokey lounge with men in suits thinking like a 60s scene endofinput i thought about childhood tv shows that we used to watch endofinput i get the imagination of being in a packed whilst people chat away with a this whilst people dance and have a good time endofinput 
